,isomorphic_hash,number_of_nodes,number_of_edges,is_strongly_connected,is_prime,adj_,DiGraph
0,d051208d192361144a9de356d6207676,4,12,True,False,"{0: [3, 1, 2], 1: [0, 2, 3], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3, 1, 2]
1: [0, 2, 3]
2: [0, 1, 3]
3: [0, 1, 2]
"
1,0e30ec40ca1a37036fef8241b00cb6b3,4,11,True,False,"{0: [3, 1], 1: [0, 2, 3], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3, 1]
1: [0, 2, 3]
2: [0, 1, 3]
3: [0, 1, 2]
"
2,e36834dc93e20f0e43bed8591bead8d4,4,10,True,False,"{0: [3], 1: [3, 0, 2], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 0, 2]
2: [0, 1, 3]
3: [0, 1, 2]
"
3,d6991c457930c7a65caf311f5b1337fc,4,9,True,False,"{0: [3], 1: [3, 0], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 0]
2: [0, 1, 3]
3: [0, 1, 2]
"
4,125938add1aa5927f5e2204c1cf754da,4,8,True,False,"{0: [3], 1: [3], 2: [3, 0, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [3, 0, 1]
3: [0, 1, 2]
"
5,807ec21b90365fe4ffe277b252c78551,4,7,True,False,"{0: [3], 1: [3], 2: [3, 0], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [3, 0]
3: [0, 1, 2]
"
6,0494bc5da4ae422ecf8290e057a8eecd,4,6,True,True,"{0: [3], 1: [3], 2: [3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [3]
3: [0, 1, 2]
"
7,8f8f538aafd959ef57dfe84f3f4fbcea,4,6,True,False,"{0: [3], 1: [3], 2: [0], 3: [1, 2, 0]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [0]
3: [1, 2, 0]
"
8,152a830413a056c61d627887946cfb17,4,5,True,True,"{0: [3], 1: [3], 2: [0], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [0]
3: [1, 2]
"
9,1ff31d71b5a57b2bceb7293b27ae9dc9,4,6,True,False,"{0: [3], 1: [3], 2: [0, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [0, 3]
3: [1, 2]
"
10,09a0791b38bda089eebf73186eaa1f19,4,7,True,False,"{0: [3], 1: [3], 2: [1, 0], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [1, 0]
3: [0, 1, 2]
"
11,1a2260e0792c2be8f50c145bfe9a8a53,4,6,True,False,"{0: [3], 1: [3], 2: [0, 1], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [0, 1]
3: [1, 2]
"
12,42200ed85b82507fe8947d155ce5ec11,4,5,True,True,"{0: [3], 1: [3], 2: [0, 1], 3: [2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [0, 1]
3: [2]
"
13,3d22df8f2499b6e1aa69127a5ba0592d,4,7,True,False,"{0: [3], 1: [3], 2: [0, 1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [0, 1, 3]
3: [1, 2]
"
14,9b3ed88519a6ee8fb61513d92290305f,4,6,True,False,"{0: [3], 1: [3], 2: [0, 1, 3], 3: [2]}","Printing the out edges chart for 
0: [3]
1: [3]
2: [0, 1, 3]
3: [2]
"
15,f908a9993c9aafa1b9cf81e8e2769b66,4,8,True,False,"{0: [3], 1: [0], 2: [3, 0, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [3, 0, 1]
3: [0, 1, 2]
"
16,191bec0e77072260edc36c49eb0a847a,4,7,True,False,"{0: [3], 1: [0], 2: [3, 0], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [3, 0]
3: [0, 1, 2]
"
17,71f8fe571f775a978c7b68f54dfffb68,4,6,True,False,"{0: [3], 1: [0], 2: [0, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [0, 3]
3: [1, 2]
"
18,c330cc7c2be1abaff97952b54f656913,4,7,True,False,"{0: [3], 1: [0], 2: [1, 0], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [1, 0]
3: [0, 1, 2]
"
19,f0c2e13e197fa531772ae71a1aab0adf,4,6,True,False,"{0: [3], 1: [0], 2: [1], 3: [2, 0, 1]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [1]
3: [2, 0, 1]
"
20,85ddb3ecba950891ea553fd1228b2f80,4,5,True,False,"{0: [3], 1: [0], 2: [1], 3: [2, 0]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [1]
3: [2, 0]
"
21,042ed9236f9a3fd9899b2e24e4ba5660,4,4,True,True,"{0: [3], 1: [0], 2: [1], 3: [2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [1]
3: [2]
"
